ܐܦܪܝܩܐ	アフリカ
ܡܪܝܡ (ܐܡܗ ܕܝܫܘܥ)	イエスの母マリア
ܠܝܟܛܢܫܛܝܢ	リヒテンシュタイン
ܐܕܘܠܦ ܗܝܛܠܪ	アドルフ・ヒトラー
ܠܝܢܘܟܣ	Linux
ܠܫܢܐ ܠܐܛܝܢܝܐ	ラテン語
ܒܚܪܝܢ	バーレーン
ܐܪܡܢܝܐ	アルメニア
ܣܪܒܝܐ	セルビア
ܣܗܪܐ	月
ܐܝܣܛܢܒܘܠ (ܡܕܝܢܬܐ)	イスタンブル
ܐܘܣܛܪܠܝܐ (ܐܬܪܐ)	オーストラリア
ܦܝܣܝܟ	物理学
ܩܘܪܐܢ	クルアーン
ܐܣܠܐܡ	イスラム教
ܟܡܬܪܐ	ナシ属
ܠܟ ܒܐܘܢܣܐ	レフ・ヴァウェンサ
ܫܠܡܐ (ܫܝܢܐ)	平和
ܚܘܝܕܐ ܐܘܪܘܦܝܐ	欧州連合
ܐܢܬܬܐ	女性
ܛܝܙܐ	肛門
ܫܚܬܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	腋の下
ܗܒܒܐ	花
ܝܘܠܦܢ ܨܪܘܝܘܬܐ	解剖学
ܡܕܝܢܬܐ	都市
ܢܐܦܠܝܘܢ ܒܘܢܐܦܪܛ	ナポレオン・ボナパルト
ܟܘܟܒܐ	恒星
ܫܡܫܐ	太陽
ܝܡܐ ܕܡܕܢܚܐ	バルト海
ܫܢܐ	歯
ܘܝܩܝܡܝܕܝܐ ܩܘܡܡܘܢܣ	ウィキメディア・コモンズ
ܟܬܒܐ (ܣܦܪܐ)	本
ܝܘܡܐ	日
ܠܠܝܐ	夜
ܫܢܬܐ (ܙܒܢܐ)	年
ܕܪܐ	世紀
ܐܘܣܠܘ	オスロ
ܠܫܒܘܢܐ	リスボン
ܦܠܝܛܐ	惑星
ܙܡܪܘܬܐ	音楽
ܡܘܣܩܒܐ	モスクワ
ܠܫܢܐ ܐܝܛܠܝܐ	イタリア語
ܬܫܐܕ	チャド
ܬܝܡܢܐ	北
ܢܝܘ ܙܝܠܢܕ	ニュージーランド
ܓܪܒܝܐ	南
ܗܢܕܘ	インド
ܦܪܙܠܐ	鉄
ܡܥܪܒܐ	西
ܡܕܢܚܐ	東
ܒܢܙܘܝܠܐ	ベネズエラ
ܛܠܦܣܢܐ	チェス
ܡܝܢ	メイン州
ܣܘܣܝܐ	ウマ
ܐܡܣܛܪܕܐܡ	アムステルダム
ܙܝܢܐ	武器
ܚܝܘܬܐ	動物
ܩܘܠܘܡܒܝܐ	コロンビア
ܢܝܘ ܗܐܡܦܫܪ	ニューハンプシャー州
ܠܝܘܢܪܕܘ ܕܗ ܒܢܬܫܝ	レオナルド・ダ・ヴィンチ
ܡܐܣܐܬܫܘܣܬܣ	マサチューセッツ州
ܐܘܛܪܝܟܛ (ܗܘܦܪܟܝܐ)	ユトレヒト州
ܟܘܢܝܬܝܟܬ	コネチカット州
ܐܝܪܐܢ	イラン
ܥܝܪܐܩ	イラク
ܐܠܐܣܟܐ	アラスカ州
ܐܝܣܪܐܝܠ	イスラエル
ܐܘܛܪܝܟܛ (ܡܕܝܢܬܐ)	ユトレヒト
ܝܡܢ	イエメン
ܠܫܢܐ ܦܘܠܢܕܝܐ	ポーランド語
ܝܘܪܕܢܢ	ヨルダン
ܩܝܪܓܝܙܣܛܐܢ	キルギス
ܐܪܝܙܘܢܐ	アリゾナ州
ܟܘܘܝܬ (ܐܬܪܐ)	クウェート
ܠܒܢܢ	レバノン
ܐܘܪܝܓܘܢ	オレゴン州
ܐܡܪܝܩܐ	アメリカ州
ܝܘܬܐ	ユタ州
ܥܘܡܐܢ	オマーン
ܦܐܩܣܛܐܢ	パキスタン
ܩܛܪ	カタール
ܣܥܘܕܝܐ	サウジアラビア
ܝܘܣܦ ܣܛܐܠܝܢ	ヨシフ・スターリン
ܣܘܪܝܐ	シリア
ܛܐܓܝܩܣܛܐܢ	タジキスタン
ܦܪܣ ܩܠܐ	ラジオ
ܛܘܪܩܡܢܣܛܐܢ	トルクメニスタン
ܐܡܝܪܘܬܐ ܥܪܒܝܬܐ ܡܚܝܕܬܐ	アラブ首長国連邦
ܐܦܓܐܢܣܛܐܢ	アフガニスタン
ܕܗܒܐ	金
ܡܠܝ	マリ共和国
ܦܝܠܝܦܝܢܝܐ	フィリピン
ܩܘܛܢܝܘܬܐ ܕܐܦܪܝܩܐ ܡܨܥܝܬܐ	中央アフリカ共和国
ܐܝܣܚܩ ܢܝܘܛܢ	アイザック・ニュートン
ܫܥܘܬܐ (ܓܘܢܐ)	黄色
ܬܘܢܣ (ܐܬܪܐ)	チュニジア
ܬܝܡܢܐ ܕܣܘܕܐܢ	南スーダン
ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ	コンゴ共和国
ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ ܕܝܡܘܩܪܛܝܬܐ	コンゴ民主共和国
ܦܐܦܐ ܝܘܚܢܢ ܦܘܠܘܣ ܬܪܝܢܐ	ヨハネ・パウロ2世 (ローマ教皇)
ܛܒܝܠܝܣܝ	トビリシ
ܩܐܡܪܘܢ	カメルーン
ܠܘܒܐ	リビア
ܡܘܪܝܛܢܝܐ	モーリタニア
ܡܓܪܒ	モロッコ
ܢܝܓܪ	ニジェール
