ܐܦܪܝܩܐ	アフリカ
ܩܡܫܠܝ	カーミシュリー
ܡܘܬܢܐ (ܗܘܦܪܟܝܐ)	ムサンナー県
ܡܝܫܢ (ܗܘܦܪܟܝܐ)	マイサーン県
ܣܘܠܝܡܐܢܝܐ (ܗܘܦܪܟܝܐ)	スレイマニヤ県
ܐܪܒܝܠ (ܗܘܦܪܟܝܐ)	アルビール県
ܚܠܒ (ܗܘܦܪܟܝܐ)	アレッポ県
ܟܪܒܠܐܐ (ܗܘܦܪܟܝܐ)	カルバラー県
ܦܪܨܘܦܐ	人間
ܕܝ ܩܐܪ (ܗܘܦܪܟܝܐ)	ジーカール県
ܐܢܕܪܢܝܩ ܡܐܪܓܐܪܝܐܢ	アンドラニク・マルカリャン
ܡܡܠܠܘܬ ܐܠܗܘܬܐ	キリスト教神学
ܓܘܙܐ	クルミ科
ܕܝܐܠܐ (ܗܘܦܪܟܝܐ)	ディヤーラー県
ܟܒܒ	ハバブ
ش	ش
ܩܪܫܬܐ	天井
ص	ص
ض	ض
ظ	ظ
ع	ع
غ	غ
ف	ف
ق	ق
ܚܨܪܐ	小指
ܬܐܘܡܐ	トマス
ܐܝܒܪܝܐ	イベリア
ܚܡܬ (ܗܘܦܪܟܝܐ)	ハマー県
ܡܠܐܟܐ	天使
ܫܢܬܐ ܦܫܝܛܬܐ	平年
ܡܣܘܪܩܐ ܕܐܝܕܐ	中手骨
ܕܪܥܐ (ܡܕܝܢܬܐ)	ダルアー
ܨܕܥܐ	こめかみ
ܩܠܐ	音符
ܛܘܘܝܐ	グリル
ܓܪܡܐ	骨
ܒܪܝܐܢܝ	ビリヤニ
ܠܒܠܒܬܐ	口蓋垂
ك	ك
ل	ل
م	م
ن	ن
ه	ه
و	و
ي	ي
ܥܪܒܝܐ	アラブ (曖昧さ回避)
ܓܝܕܐ ܕܓܢܫܝܐ	坐骨神経
ܒܪܬܐ (ܒܝܬܝܘܬܐ)	娘
ܗܪܗܪܐ	蜃気楼
ܚܣܟܗ (ܡܕܝܢܬܐ)	ハサカ
ܒܝܬ ܢܗܪܝܢ ܥܠܝܬܐ	ジャズィーラ
ܛܐܪܩ ܥܙܝܙ	ターリク・ミハイル・アズィーズ
ܡܣܘܪܩܐ ܕܪܓܠܐ	中足骨
ܥܪܩ	アラック
ܫܠܦܐ	刃
ܛܘܪ ܠܒܢܢ	レバノン山脈
ܐܘܛܪܝܟܛ	ユトレヒト (曖昧さ回避)
ܩܪܕܘܝܐ	クルド
ܓܐܝܘܣ	ガイウス
ܩܝܒܩ	ケベック
ܩܕܠܐ	うなじ
ܥܡܐ ܐܬܘܪܝܐ/ܣܘܪܝܝܐ	アッシリア人
ܛܘܪܐ ܕܣܝܢܝ	シナイ山
ܦܘܪܬܥܢܐ	ノミ
ܟܪܘܙܘܬܐ ܕܡܬܝ	マタイによる福音書
ܐܓܪܬܐ ܕܠܘܬ ܐܦܣܝܐ	エフェソの信徒への手紙
10000 (ܡܢܝܢܐ)	10000
ܒܢܦܫܐ	菫色
ܢܨܪܬ	ナザレ
ܟܬܒܐ ܕܡܘܪܡܘܢ	モルモン書
ܥܡܘܕܐ ܦܩܪܝܐ	脊椎
ܒܝܬ ܫܥܝܐ	スタジアム
ܓܘܕ ܫܪܠܘܛ	グッド・シャーロット
ܒܪ ܨܘܪܐ	襟
ܚܣܚܘܣܐ	軟骨
ܐܝܣܛܢܒܘܠ (ܗܘܦܪܟܝܐ)	イスタンブル県
ܝܘܢܝܐ	ギリシャ人
ܓܗܢܐ	ゲヘナ
ܬܠܫܝܬܐ ܕܩܛܠܐ ܕܐܕܘܠܦ ܗܝܛܠܪ	ヒトラー暗殺計画
ܬܐܓܘܪܬܐ	取引
ܫܝܪܢܐܟ (ܗܘܦܪܟܝܐ)	シュルナク県
ܥܘܩܣܐ	針 (生物)
ܟܗܢܘܬܐ	神品機密
ܚܒܘܪ	ハブール川
ܗܕܡܐ ܓܘܝܐ	器官
ܚܡܬܐ (ܒܝܬܝܘܬܐ)	義親
ܡܥܠܘܠܐ	マアルーラ
ܐܘܪܘܦܐ	ヨーロッパ (曖昧さ回避)
ܐܘܣܛܪܠܝܐ	オーストラリア (曖昧さ回避)
ܡܦܩܬܐ ܦܫܝܛܬܐ	ペシタ訳
ܐܪܚܘܬܐ	サービス精神
ܚܘܐ	イヴ
ܗܘܦܪܟܝܣ ܕܥܝܪܐܩ	イラクの地方行政区画
ܒܝܬ ܟܬܒܐ ܕܐܫܘܪ ܒܢܐܦܠ	アッシュールバニパルの図書館
ܒܕܘܩܐ	ボーイスカウト
ܥܘܕܪܢܐ:ܚܒܝܫܬ̈ܐ	Help:目次
ܓܦܬܐ	つる植物
ܡܝܟܐܝܠ	マイケル
ܐܣܛܘܡܟܐ	胃
ܓܢܬܐ	庭園
ܕܪܓܘܫܬܐ	ゆりかご
ܘܝܩܝܦܕܝܐ:ܐܝܙܓܕܘܬܐ	Wikipedia:大使館
ܫܠܝܬܐ	胎盤
ܒܝܬ ܛܘܣܐ	空港
ܒܝܬ ܫܡܪܝܐ	サマリア
ܐܓܢܣ ܡܘ	アグネス・モニカ
ܣܕܪܐ:ܓܪܡܢ	Category:ドイツ
ܣܕܪܐ:ܐܝܛܠܝܐ	Category:イタリア
ܣܕܪܐ:ܐܬܪܘܬܐ ܡܚܝܕܐ ܕܐܡܪܝܩܐ	Category:アメリカ合衆国
ܣܕܪܐ:ܪܘܣܝܐ	Category:ロシア
ܣܕܪܐ:ܩܢܕܐ	Category:カナダ
ܣܕܪܐ:ܐܝܣܪܐܝܠ	Category:イスラエル
ܣܕܪܐ:ܛܘܪܩܝܐ	Category:トルコ
ܣܕܪܐ:ܡܨܪܝܢ	Category:エジプト
ܣܕܪܐ:ܐܝܪܐܢ	Category:イラン
ܥܐܕܐ	祝日
ܣܕܪܐ:ܥܝܪܐܩ	Category:イラク
ܣܕܪܐ:ܗܘܠܢܕܐ	Category:オランダ
ܣܕܪܐ:ܦܘܠܢܕ	Category:ポーランド
ܣܕܪܐ:ܛܝܪܐ	Category:鳥類
ܣܕܪܐ:ܝܥܝܬܐ	Category:植物
ܣܕܪܐ:ܬܘܕܝܬܐ	Category:宗教
ܣܕܪܐ:ܝܕܥܬܐ	Category:科学
ܕܪܥܐ (ܗܘܦܪܟܝܐ)	ダルアー県
ܩܠܒܐ:Box-footer	Template:Box-footer
ܢܩܘܕ	ニクダー
ܚܝܠܐ	体力
ܡܪܝܡ (ܚܬܗ ܕܡܘܫܐ)	ミリアム
ܣܕܪܐ:ܬܘܚܡܐ ܐܚܪܢܐ	Category:曖昧さ回避
ܣܕܪܐ:ܡܫܝܚܝܘܬܐ	Category:キリスト教
ܣܕܪܐ:ܐܣܠܐܡ	Category:イスラム教
ܣܕܪܐ:ܝܗܘܕܝܘܬܐ	Category:ユダヤ教
ܠܩܐ ܕܣܦܝܢܬܐ	櫂
ܙܚܘܪܝܬܐ (ܓܘܢܐ)	スカーレット
ܐܢܩܪܐ (ܗܘܦܪܟܝܐ)	アンカラ県
ܐܢܕܪܐܘܣ	アンドレ
ܐܝܪܠܢܕ	アイルランド (曖昧さ回避)
ܝܘܢܢ	ヨナ
ܐܨܪܐ	調味料
ܕܝܪܝܟ	マリキヤ
ܫܘܫܡܬܐ	ゴマ
ܣܕܪܐ:ܘܝܩܝܦܕܝܐ	Category:カテゴリを集めたカテゴリ
ܣܕܪܐ:ܝܒܫܬܐ	Category:大陸
ܝܙܦܬܐ	債務
ܦܨܝܕܐ	池
ܐܪܓܘܢܐ	紫
ܢܘܪܢܝܐ	角錐
ܘܝܩܝܦܕܝܐ:HotCat	Wikipedia:HotCat
ܒܛܐ	カモ
ܗܝܟܠܐ ܕܫܠܝܡܘܢ	エルサレム神殿
ܩܠܒܐ:ܓܕܫܐ ܗܫܝܐ	Template:最近の出来事
ܣܕܪܐ:ܡܟܬܒܢܘܬܐ ܕܐܬܪܘܬܐ	Category:国
ܘܝܩܝܦܕܝܐ:ܡܕܒܪܢܐ	Wikipedia:管理者
ܣܕܪܐ:ܫܕܬܐ	Category:職業
ܘܝܩܝܦܕܝܐ:ܒܘܬ̈ܐ	Wikipedia:Bot
ܣܕܪܐ:ܙܒܢܐ	Category:時間
ܣܕܪܐ:ܙܘܙܐ	Category:貨幣
ܣܕܪܐ:ܝܘܠܦܢ ܨܪܘܝܘܬܐ	Category:解剖学
ܣܕܪܐ:ܐܣܝܘܬܐ	Category:医学
ܫܡܥܘܢ (ܫܡܐ)	シモン
ܡܨܪܝܢ	エジプト
ܩܠܒܐ:Bot	Template:Bot
ܩܢܕܐ	カナダ
ܣܕܪܐ:ܝܘܢ	Category:ギリシャ
ܣܕܪܐ:ܣܘܝܕ	Category:スウェーデン
ܩܠܒܐ:ܐܫܛܪܘܬܐ	Template:Documentation
ܣܕܪܐ:User languages	Category:言語別の利用者
ܦܘܠܚܢܐ	企業
ܩܠܒܐ:Softredirect	Template:Softredirect
ܩܠܒܐ:Delete	Template:即時削除
ܡܓܕܠܐ (ܩܪܝܬܐ)	マグダラ
ܣܕܪܐ:ܛܟܢܘܠܘܓܝܐ	Category:技術
ܓܒܪܐܝܠ (ܫܡܐ)	ガブリエル (曖昧さ回避)
ܡܝܟܐܝܠ (ܫܡܐ)	ミカエル (曖昧さ回避)
ܣܕܪܐ:ܠܫܢܐ	Category:諸言語
ܣܕܪܐ:ܩܢܘܢܐ ܕܠܥܙܐ	Category:文法
ܘܝܩܝܦܕܝܐ:General disclaimer	Wikipedia:免責事項
ܣܕܪܐ:Noindexed pages	Category:検索エンジンに収集されないページ
ܘܝܩܝܦܕܝܐ:ܕܘܒܪܐ	Wikipedia:スタイルマニュアル
ܩܠܒܐ:Navbox	Template:Navbox
ܩܠܒܐ:!	Template:!
ܣܕܪܐ:ܩܠܒܐ ܐܬܘܬܐ ܕܐܝܣܘ	Category:旗のテンプレート
ܩܠܒܐ:ܡܦܐܬܐ ܩܠܒܐ	Template:Tnavbar
ܩܠܒܐ:Clear	Template:Clear
ܘܝܩܝܦܕܝܐ:ܡܟܬܒܘܬܐ ܕܡܓܠܐ ܠܟܠ ܘܝܩܝܦܕܝܐ	Wikipedia:すべての言語版にあるべき項目の一覧
ܣܕܪܐ:ܝܪܚܐ ܕܫܢܬܐ	Category:月 (暦)
ܩܠܒܐ:Babel	Template:Babel
ܩܠܒܐ:Commons	Template:Commons
ܩܠܒܐ:Reflist	Template:Reflist
ܩܠܒܐ:User ar-1	Template:User ar-1
ܩܠܒܐ:User az	Template:User az
ܩܠܒܐ:See also	Template:See also
ܩܠܒܐ:User de	Template:User de
ܩܠܒܐ:User es	Template:User es
ܩܠܒܐ:User en-3	Template:User en-3
ܩܠܒܐ:User en-1	Template:User en-1
ܩܠܒܐ:User en-2	Template:User en-2
ܩܠܒܐ:User en-4	Template:User en-4
ܩܠܒܐ:User en-0	Template:User en-0
ܩܠܒܐ:User en	Template:User en
ܩܠܒܐ:User fa	Template:User fa
ܩܠܒܐ:User fr-1	Template:User fr-1
ܩܠܒܐ:User he-2	Template:User he-2
ܩܠܒܐ:User he-1	Template:User he-1
ܩܠܒܐ:User sk	Template:User sk
ܩܠܒܐ:User tr	Template:User tr
ܩܠܒܐ:User ja	Template:User ja
ܩܠܒܐ:User fr	Template:User fr
ܩܠܒܐ:User he	Template:User he
ܣܕܪܐ:ܐܣܝܐ	Category:アジア
ܣܕܪܐ:ܕܪܐ ܕܥܣܪܝܢ ܘܚܕ	Category:21世紀
ܩܠܒܐ:Mod	Template:Mod
ܩܠܒܐ:User sv	Template:User sv
ܩܠܒܐ:Infobox language/codelist	Template:Infobox Language/codelist
ܩܠܒܐ:User it	Template:User it
ܣܕܪܐ:ܝܘܡܐ ܕܫܒܘܥܐ	Category:曜日
ܣܕܪܐ:ܐܨܪܐ	Category:調味料
ܩܠܒܐ:ܝܗܘܝܬܐ Peru	Template:Country data Peru
ܩܠܒܐ:ܝܗܘܝܬܐ Paraguay	Template:Country data Paraguay
ܩܠܒܐ:Edit	Template:Edit
ܩܠܒܐ:ܝܗܘܝܬܐ French Guiana	Template:Country data Guyana
ܩܠܒܐ:ܝܗܘܝܬܐ Argentina	Template:Country data Argentina
ܩܠܒܐ:Navbox suite	Template:Navbox suite
ܩܠܒܐ:Category other	Template:Category other
ܩܠܒܐ:ܡܟܬܒܢܘܬܐ ܕܝܦܬܐ	Template:Collapsible list
ܩܠܒܐ:Sidebar	Template:Sidebar
ܩܠܒܐ:Ambox	Template:Ambox
ܩܠܒܐ:Navigation templates	Template:Navigational templates
ܩܠܒܐ:ܐܬܪܐ	Template:基礎情報 国
ܩܠܒܐ:ܝܬܝܪ	Template:Catmore2
ܩܠܒܐ:/box-header	Portal:Box-header
ܣܕܪܐ:User en	Category:User en
ܣܕܪܐ:User zh	Category:User zh
ܩܠܒܐ:ܐܠܦܒܝܬ ܥܪܒܝܐ	Template:アラビア文字 (語末形のみ)
ܣܕܪܐ:User zh-N	Category:User zh-N
ܩܠܒܐ:ܨܢܕܘܩ ܪܡܙܐ2	Template:Infobox
ܩܠܒܐ:User zh	Template:User zh
ܩܠܒܐ:Navbox/core	Template:Navbox/core
ܩܠܒܐ:ܐܫܛܪܘܬܐ/ܨܢܕܘܩ ܫܪܝܬܐ	Template:Documentation/start box
ܩܠܒܐ:Documentation/end box2	Template:Documentation/end box2
ܩܠܒܐ:Documentation/start box2	Template:Documentation/start box2
ܩܠܒܐ:ܩܠܒܐ ܐܚܪܝܢܐ	Template:Template other
ܩܠܒܐ:ܐܠܦܒܝܬ ܠܐܛܝܢܝܐ	Template:A-Z
ܣܕܪܐ:ܦܐܦܐ	Category:教皇
ܩܠܒܐ:Pp-template	Template:Pp-template
ܩܠܒܐ:User nl-1	Template:User nl-1
ܩܠܒܐ:User nl-2	Template:User nl-2
ܣܕܪܐ:ܪܝܫܝ ܩܘܛܢܝܘܬܐ	Category:大統領
ܩܠܒܐ:User ru	Template:User ru
ܩܠܒܐ:IPA	Template:IPA2
ܣܕܪܐ:ܗܪܘܡܐ	Category:香辛料
ܣܕܪܐ:ܦܠܫܬ	Category:パレスチナ
ܣܕܪܐ:ܡܠܐܟܐ	Category:天使
ܣܕܪܐ:ܢܒܝܐ	Category:預言者
ܩܠܒܐ:Rellink	Template:Rellink
ܩܠܒܐ:Category redirect	Template:Category redirect
ܩܠܒܐ:ܝܗܘܝܬܐ Venezuela	Template:Country data Venezuela
ܩܠܒܐ:ܨܢܕܘܩ ܡܕܒܪܢܐ	Template:Infobox Officeholder
ܩܠܒܐ:Sortname	Template:Sortname
ܩܠܒܐ:Border	Template:Border
ܩܠܒܐ:ܡܢܝܢܐ ܕܝܪܚܐ	Template:MONTHNUMBER
ܩܠܒܐ:ܪܕ	Template:Fmbox
ܩܠܒܐ:ܝܗܘܝܬܐ Chile	Template:Country data Chile
ܩܠܒܐ:GUA	Template:GTM
ܩܠܒܐ:User nl	Template:User nl
ܩܠܒܐ:Navbox years	Template:NavboxYears
ܩܠܒܐ:ܡܣܦܩ ܩܐܫ	Template:Purge
ܩܠܒܐ:ܨܢܕܘܩ ܐܡܢܐ	Template:Infobox 芸術家
ܩܠܒܐ:ܡܦܠܚܢܐ	Template:User
ܣܕܪܐ:ܬܘܢܣ	Category:チュニジア
ܩܠܒܐ:Sec link auto	Template:Sec link auto
ܩܠܒܐ:Cmbox	Template:Cmbox
ܩܠܒܐ:Mbox	Template:Mbox
ܩܠܒܐ:Oppose	Template:反対
ܩܠܒܐ:COL	Template:COL
ܩܠܒܐ:PER	Template:PER
ܩܠܒܐ:ܨܢܕܘܩ ܡܕܥܐ ܕܝܒܫܬܐ	Template:Infobox Continent
ܩܠܒܐ:User ar-2	Template:User ar-2
ܩܠܒܐ:User ar-3	Template:User ar-3
ܩܠܒܐ:User ar	Template:User ar
ܩܠܒܐ:ܝܘܡܐ ܕܫܒܘܥܐ	Template:曜日
ܣܕܪܐ:ܡܕܝܢܬܐ ܒܐܘܚܕܢܐ ܡܚܝܕܐ	Category:アメリカ合衆国の都市
ܩܠܒܐ:ܬ.ܐ.	Template:Aimai
ܩܠܒܐ:No	Template:中止
ܣܕܪܐ:ܩܠܒܐ ܨܢܕܘܩܐ	Category:基礎情報テンプレート
ܩܠܒܐ:Partial	Template:Partial
ܩܠܒܐ:ܩܘܕܝܟܘܣ ܕܣܕܪܐ	Template:CategoryTOC
ܩܠܒܐ:?	Template:?
ܩܠܒܐ:ܝܗܘܝܬܐ Colombia	Template:Country data Colombia
ܣܕܪܐ:User yue	Category:User zh-yue
ܣܕܪܐ:User az	Category:User az
ܣܕܪܐ:User sk	Category:User sk
ܣܕܪܐ:User fr	Category:User fr
ܣܕܪܐ:User ja	Category:User ja
ܣܕܪܐ:User la	Category:User la
ܣܕܪܐ:User pt	Category:User pt
ܣܕܪܐ:User ro	Category:User ro
ܣܕܪܐ:User sv	Category:User sv
ܣܕܪܐ:User ko-N	Category:User ko-N
ܩܠܒܐ:User yue	Template:User zh-yue
ܣܕܪܐ:ܗܘܦܪܟܝܣ ܕܥܝܪܐܩ	Category:イラクの県
ܩܠܒܐ:Cat main	Template:Catmore
ܣܕܪܐ:User ar	Category:User ar
ܣܕܪܐ:User arc	Category:User arc
ܣܕܪܐ:User da	Category:User da
ܣܕܪܐ:User sk-N	Category:User sk-N
ܣܕܪܐ:User de	Category:User de
ܣܕܪܐ:User el	Category:User el
ܣܕܪܐ:User en-N	Category:User en-N
ܣܕܪܐ:User es	Category:User es
ܣܕܪܐ:User fa	Category:User fa
ܣܕܪܐ:User fi	Category:User fi
ܣܕܪܐ:User he	Category:User he
ܩܠܒܐ:N/a	Template:N/a
ܣܕܪܐ:User hy	Category:User hy
ܣܕܪܐ:ܠܫܢܐ ܥܒܪܝܐ	Category:ヘブライ語
ܣܕܪܐ:ܡܕܝܢܬܐ ܒܐܝܣܪܐܝܠ	Category:イスラエルの都市
ܣܕܪܐ:User it	Category:User it
ܣܕܪܐ:User ko	Category:User ko
ܣܕܪܐ:ܒܬܫܪܝܢ ܐܚܪܝ	Category:11月
ܣܕܪܐ:ܝܡܡܐ	Category:海
ܩܠܒܐ:ܐܠܦܒܝܬ ܝܘܢܝܐ	Template:ギリシア文字
ܩܠܒܐ:No2	Template:No2
ܩܠܒܐ:Rh	Template:Rh
ܩܠܒܐ:ܢܒܝܐ ܕܕܝܬܝܩܝ ܥܬܝܩܬܐ	Template:旧約聖書の預言者
ܩܠܒܐ:ܣܡܘܩܐ	Template:Red-text
ܣܕܪܐ:ܒܝܬܝܘܬܐ	Category:親族
ܩܠܒܐ:ܝܗܘܝܬܐ Brazil	Template:Country data Brazil
ܩܠܒܐ:Yes2	Template:Yes2
ܩܠܒܐ:Yes-No	Template:Yes-No
ܬܪܥܐ:ܬܘܕܝܬܐ	Portal:宗教
ܣܕܪܐ:ܪܝܫܝ ܩܘܛܢܝܘܬܐ ܥܠ ܐܬܪܐ	Category:各国の大統領
ܣܕܪܐ:User ru	Category:User ru
ܣܕܪܐ:User ru-3	Category:User ru-3
ܣܕܪܐ:User tl	Category:User tl
ܣܕܪܐ:User tr	Category:User tr
ܣܕܪܐ:ܙܡܪܐ	Category:音楽家
ܩܠܒܐ:Lang	Template:Lang
ܣܕܪܐ:ܪܫܘܡܐ	Category:画家
ܩܠܒܐ:ܫܠܝܚܐ ܕܡܫܝܚܐ	Template:使徒
ܩܠܒܐ:Busy/Doc	Template:Busy
ܣܕܪܐ:ܐܡܢܐ ܥܠ ܐܕܫܐ	Category:種類別の職業
ܩܠܒܐ:ܚܡܫܐ ܐܘܩܝܢܘ	Template:五大洋
ܩܠܒܐ:CHI	Template:CHL
ܣܕܪܐ:ܡܕܝܢܬܐ ܒܐܢܓܠܢܕ	Category:イングランドの居住地 (カウンティ別)
ܣܕܪܐ:ܢܝܓܪ	Category:ニジェール
ܣܕܪܐ:ܝܘܠܦܢ ܩܢܘܢܝܐ	Category:法学
ܩܠܒܐ:Infobox language/family-color	Template:Infobox Language/family-color
ܣܕܪܐ:ܣܥܪܐ	Category:髪型
ܣܕܪܐ:ܢܗܪܘܬܐ	Category:河川
ܩܠܒܐ:User he-3	Template:User he-3
ܩܠܒܐ:User ko	Template:User ko
ܩܠܒܐ:User pt	Template:User pt
ܣܕܪܐ:User nl	Category:User nl
ܣܕܪܐ:User no	Category:User no
ܣܕܪܐ:ܣܘܪܝܐ	Category:シリア
ܣܕܪܐ:ܕܪܐ ܩܕܡܝܐ	Category:1世紀
ܣܕܪܐ:ܓܙܪܬܐ ܝܒܫܢܝܬܐ	Category:半島
ܣܕܪܐ:ܗܘܦܪܟܝܣ ܕܗܘܠܢܕܐ	Category:オランダの州
ܣܕܪܐ:ܡܢܝܢܐ	Category:整数
ܣܕܪܐ:ܡܕܝܢܬܐ ܕܥܝܪܐܩ	Category:イラクの都市
ܣܕܪܐ:ܥܝܢܐ (ܨܪܘܝܘܬܐ)	Category:目
ܣܕܪܐ:ܓܘܪܓܝܐ	Category:グルジア
ܣܕܪܐ:ܟܘܘܝܬ	Category:クウェート
ܣܕܪܐ:ܠܒܢܢ	Category:レバノン
ܣܕܪܐ:ܪܝܫܝ ܩܘܛܢܝܘܬܐ ܕܐܬܪܘܬܐ ܡܚܝܕܐ ܕܐܡܪܝܩܐ	Category:アメリカ合衆国の大統領
ܣܕܪܐ:ܝܘܪܕܢܢ	Category:ヨルダン
ܣܕܪܐ:ܦܐܪܐ	Category:果物
ܣܕܪܐ:ܝܘܠܦܢ ܟܘܪܗܢܐ	Category:病理学
ܣܕܪܐ:ܓܒܐ	Category:政党
ܣܕܪܐ:ܕܝܬܝܩܝ ܚܕܬܐ	Category:新約聖書
ܣܕܪܐ:ܕܝܬܝܩܝ ܥܬܝܩܬܐ	Category:旧約聖書
ܣܕܪܐ:ܐܘܩܝܢܘ	Category:大洋
ܣܕܪܐ:ܓܪܡܐ	Category:骨
ܣܕܪܐ:ܗܘܦܪܟܝܣ ܘܐܘܚܕܢܐ ܕܩܢܕܐ	Category:カナダの州
ܣܕܪܐ:ܚܝܘܬܐ	Category:動物
ܣܕܪܐ:ܛܘܪܐ	Category:山地
ܣܕܪܐ:ܣܘܥܪܢܐ	Category:事件
ܣܕܪܐ:ܟܘܪܗܢܐ	Category:病気
ܣܕܪܐ:User pl	Category:User pl
ܣܕܪܐ:ܡܕܒܪܐ	Category:砂漠
ܣܕܪܐ:ܝܡܡܬܐ	Category:湖
ܩܠܒܐ:ܨܢܕܘܩ ܡܚܡܝܬܐ ܡܨܥܝܐ	Template:ディスクメディア
ܩܠܒܐ:ܨܢܕܘܩ ܪܡܙܐ ܕܠܫܢܐ	Template:Infobox Language
ܣܕܪܐ:ܩܛܠܥܡܐ	Category:大量虐殺
ܣܕܪܐ:ܡܠܟܘܬܐ ܕܗܘܠܢܕܐ	Category:オランダ王国
ܨܝܢ	チャイナ
ܣܕܪܐ:ܠܫܢܐ ܘܠܥܙܐ ܨܝܢܝܐ	Category:中国語の方言
ܛܪܘܝܐܢܝ	トロヤニ (マゾフシェ県)
ܫܪܓܐ	ランプ
ܩܠܒܐ:Sister	Template:Sister
ܩܠܒܐ:ܝܗܘܝܬܐ Falkland Islands	Template:Country data Falkland Islands
ط	ط
ܣܕܪܐ:ܒܝܬ ܟܬܒܐ	Category:図書館
ܣܕܪܐ:ܐܪܙܐ	Category:サクラメント
ܣܕܪܐ:ܒܝܬ ܢܗܪܝܢ	Category:古代メソポタミア
ܣܕܪܐ:ܓܘܢܐ	Category:色
ܣܕܪܐ:ܦܣܩܐ ܕܝܘܡܐ	Category:一日の部分
ܕܒܘܪܐ (ܪܚܫܐ)	ハチ
ܩܠܒܐ:ܣܘܪܓܕܐ ܚܘܫܒܢܐ	Template:Year in other calendars
ܣܕܪܐ:ܩܕܝܫܐ	Category:聖人
ܩܪܕܐ (ܪܚܫܐ)	マダニ
ܩܠܒܐ:ܣܝܩܘܡ ܫܘܪܝܐ	Template:Start date
ܩܠܒܐ:User nl-3	Template:User nl-3
ܩܠܒܐ:Tim	Template:Tim
ܩܠܒܐ:ܠܫܢܐ ܨܝܢܝܐ	Template:中国語
ܩܠܒܐ:P1	Template:P1
ܢܘܓܗܐ	明け方
ܩܠܒܐ:Sec link/normal link	Template:Sec link/normal link
ܩܠܒܐ:Sec link/text	Template:Sec link/text
ܘܝܩܝܦܕܝܐ:NavFrame	Help:ダイナミック・ナビゲーション・ボックス
ܩܠܒܐ:Infobox language/genetic	Template:Infobox Language/genetic
ܟܘܕܐ	悪露
ܕܝܠܢܝܐ:ܫܘܚܠܦ̈ܐ ܚܕ̈ܬܐ	特別:最近の更新
ܘܙܐ	雁
