非洲	アフリカ
日本	日本
南美洲	南アメリカ
Nò-vî	ノルウェー
Sû-kak-làn	スコットランド
Vî-ngì-sṳ̂	ウェールズ
Pet Oi-ngì-làn	北アイルランド
Hiûng-ngà-li	ハンガリー
Sî-pân-ngà	スペイン
Mî-koet	アメリカ合衆国
Pí-li-sṳ̀	ベルギー
Lù-sêm-pó	ルクセンブルク
Yî-chhiu	宇宙
Thi-khiù	地球
Sâng-miang	生命
Ngìn-lui	ヒト
George Washington	ジョージ・ワシントン
Fûn-làn	フィンランド
Shuì-tién	スウェーデン
Tan-ma̍k	デンマーク
Pô-làn	ポーランド
Li̍p-thâu-vón	リトアニア
Yi-thai-li	イタリア
Shuì-sṳ	スイス
O-thi-li	オーストリア
Hî-lia̍p	ギリシャ
Thú-ngí-khì	トルコ
Phù-thò-ngà	ポルトガル
歐洲	ヨーロッパ
亞洲	アジア
北美洲	北アメリカ
南極洲	南極大陸
Vì-kî Pak-khô	ウィキペディア
Hò-làn	オランダ
Néu-yok-sṳ	ニューヨーク
Fà-sṳ̀n-tun Kô-lùn-pí-â Thi̍t-khî	ワシントンD.C.
Khiu-kîm-sân	サンフランシスコ
Pak-lìm	ベルリン
Lo̍k-chhám-kî	ロサンゼルス
Thien-nó	コンピュータ
Mióng-chi-mióng-lu	インターネット
Barack Obama	バラク・オバマ
Vû-lâ-kûi	ウルグアイ
Lùn-tûn	ロンドン
Phìn-kó	リンゴ
Pâ-lì-sṳ	パリ
Â-pak-lâ-hón Lìm-khén	エイブラハム・リンカーン
Google	Google
Me̍t-sî-kô	メキシコ
Thai-sî-yòng	大西洋
Thai-phìn-yòng	太平洋
Kâ-li-fuk-nì-â	カリフォルニア州
Pô-sṳ-tun	ボストン
Fó-sên	火星
Âi-set-ngò-pí-â	エチオピア
Sṳ̂-é	ライオン
Fap-koet	フランス
Sṳ-kie-ngî	エスペラント
Kiéu-è	イヌ
Yîn-koet	イギリス
Meu-é	ネコ
中華人民共和國	中華人民共和国
Fap-ngî	フランス語
Ǹg-è	魚類
Pâ-sî	ブラジル
François Hollande	フランソワ・オランド
Ngò-lò-sṳ̂	ロシア
Kîn-ǹg	クジラ目
Chang-fông-hìn	正方形
Tô-lùn-tô	トロント
Â-lâ-pâ-mâ	アラバマ州
Québec-sén	ケベック州
Boeing 747	ボーイング747
Jimmy Wales	ジミー・ウェールズ
Tet-koet	ドイツ
Pha̍k-ngò-lò-sṳ̂	ベラルーシ
Tet-ngî	ドイツ語
Pên-tó	アイスランド
Song-ti	神
Oi-sâ-nì-â	エストニア
David Cameron	デーヴィッド・キャメロン
Thú-sên	土星
Ku-thin-yi̍t Fî-kî	飛行機
1	1
2	2
3	3
4	4
5	5
