Afrik	アフリカ
Fibonacci	レオナルド・フィボナッチ
Joseph Fourier	ジョゼフ・フーリエ
Augustin Louis Cauchy	オーギュスタン＝ルイ・コーシー
Konsey Ewòp	欧州評議会
Konstelasyon	星座
James Prescott Joule	ジェームズ・プレスコット・ジュール
Johannes Kepler	ヨハネス・ケプラー
Max Planck	マックス・プランク
Nikola Tesla	ニコラ・テスラ
James Watt	ジェームズ・ワット
Gottfried Leibniz	ゴットフリート・ライプニッツ
Knowledge	知識
Endouyis	ヒンドゥー教
James Clerk Maxwell	ジェームズ・クラーク・マクスウェル
Sen	乳房
Atòm	原子
Ernest Rutherford	アーネスト・ラザフォード
Limyè	光
Erwin Schrödinger	エルヴィン・シュレーディンガー
Monoteyis	一神教
Nanm	霊魂
Relijyon	宗教
Lang kore	朝鮮語
Rene Descartes	ルネ・デカルト
Sigmund Freud	ジークムント・フロイト
Bakou	バクー
Jidayis	ユダヤ教
Timfou	ティンプー
Banda Seri	バンダルスリブガワン
Dili	ディリ
Vyantyàn	ヴィエンチャン
Konpòtman	行動
Male	マレ
Bichkek	ビシュケク
Douchanbe	ドゥシャンベ
Fwa	肝臓
Ren	腎臓
Blad pipi	膀胱
Irèt	尿道
Lapen	ウサギ
Zonbi	ゾンビ
Panse	思考
Oseyan	大洋
Mahomet	ムハンマド・イブン＝アブドゥッラーフ
Etiik	倫理学
Suspense	サスペンス
Alèn	呼吸
Vant	腹
Lang (ògan)	舌
Ovè (plant)	卵巣
Kou	首
Bouch	口
Zantray	腸
Atikilasyon	関節
Glann	腺
Disjesyon	消化器
Dyafragm	横隔膜
Atè	動脈
A	A
Michael Schumacher	ミハエル・シューマッハ
Elizabeth II	エリザベス2世
John Fitzgerald Kennedy	ジョン・F・ケネディ
B	B
Espèm	精液
G	G
U	U
Z	Z
F	F
J	J
Alfabèt	アルファベット
T	T
C	C
R	R
D	D
Α	Α
Ω	Ω
I	I
Μ	Μ
E	E
H	H
K	K
L	L
M	M
N	N
O	O
P	P
Q	Q
S	S
Ronald Reagan	ロナルド・レーガン
V	V
W	W
X	X
Y	Y
Φ	Φ
Plasma (fizik)	プラズマ
Almería (Almería)	アルメリア
Fernando Alonso	フェルナンド・アロンソ
David Beckham	デビッド・ベッカム
Gordon Brown	ゴードン・ブラウン
1100 (almanak jilyen)	1100年
Kategori:Venezwela	Category:ベネズエラ
Bèlfast	ベルファスト
Kadif	カーディフ
Tablo klasifikasyon peryodik eleman	周期表
Jòjtòn	ジョージタウン (ガイアナ)
Toutouni	裸
Rèptil	爬虫類
Pijon	ハト科
Akeyo	古細菌
Bakteri	真正細菌
Pyebwa	木
Pwotis	原生生物
Λ	Λ
Kòde	脊索動物
Fromaj	チーズ
Rezen	ブドウ
Siwo	蜂蜜
Vyann	食肉
Pòm tè	ジャガイモ
Sik (materyo)	砂糖
Nwa (fwi)	種実類
Teknoloji	テクノロジー
Elis	ねじ
Enjenieri	工学
Kominikasyon	コミュニケーション
Enfòmasyon	情報
Jounal	新聞
Kilti	文化
Asid ribonikleyik	リボ核酸
Pierre Bouguer	ピエール・ブーゲ
Sistèm sikilatwa fèmen	循環器
Gwo trip	大腸
Ti trip	小腸
Lugo	ルーゴ (スペイン)
Asid	酸
Konpoze	化合物
Almanak jilyen	ユリウス暦
Medsin	医学
Baz (chimi)	塩基
Sarayevo	サラエヴォ
Sistèm kouwòdone	座標
Sèl	塩
Fidel Castro	フィデル・カストロ
Kategori:Brezil	Category:ブラジル
Resif koray	サンゴ礁
Eleman chimik	元素
Chimi òganik	有機化学
Ang	角度
Kabonidrat	炭水化物
Aryabhata	アリヤバータ
Òmòn	ホルモン
Lipid	脂質
Akselerasyon santripèd	加速度
Enèji	エネルギー
Lwa konsèvasyon enèji	エネルギー保存の法則
Onn elektwomayetik	電磁波
Espès ki reprezante menas	絶滅危惧種
Dezyèm lwa Newton	古典力学
Fòs	力
Chan mayetik	磁場
Karate	空手道
Jido	柔道
Jwèt	玩具
Mas inèsi	質量
Sinema	映画
Metal	金属
Asye	鋼
Eta matyè	物質の状態
Gaz	気体
Likid	液体
Solid	固体
Radyo-aktivite	放射性崩壊
Agrikilti	農業
Semi-kondiktè	半導体
Rad	被服
Onn sonò	音
Vitès mwayèn	速度
Tanperati	温度
Vè (materyo)	ガラス
Tan	時間
Tèmodinamik	熱力学
Plastik	合成樹脂
Reyon gama	ガンマ線
Nonm	数
Kilogram	キログラム
Segonn	秒
Mayi	トウモロコシ
Òj	オオムギ
Kelven	ケルビン
Penti	絵画
Fotografi	写真
Grace Hopper	グレース・ホッパー
Elektwonik	電子機器
Kouran elektrik	電流
Frekans	周波数
Dyòd	ダイオード
Transfòmatè	変圧器
Lis peyi	国の一覧
Preyistwa	先史時代
Lous	クマ
William Rowan Hamilton	ウィリアム・ローワン・ハミルトン
Dijesyon chimik	消化
Fotosentèz	光合成
Repwodiksyon	生殖
Grosès	妊娠
Chèn	オーク
1101 (almanak jilyen)	1101年
1102 (almanak jilyen)	1102年
Kansè	悪性腫瘍
Wa	王
Avwàn	エンバク
Ble (sereyal)	コムギ
Maladi	病気
Almanak gregoryen	グレゴリオ暦
Lasante	健康
Malarya	マラリア
Antibyotik	抗生物質
Penisilin	ペニシリン
Nant	ナント
Sida	後天性免疫不全症候群
Huelva (Huelva)	ウエルバ
Achitekti	建築
Pon	橋
Mezi	測定
Simetri	対称性
1103 (almanak jilyen)	1103年
1104 (almanak jilyen)	1104年
Eskalye	階段
Aztèk	アステカ
Mwayenaj	中世
Maine-ak-Lwar	メーヌ＝エ＝ロワール県
Baden Powell	ロバート・ベーデン＝パウエル
Konbistib fosil	化石燃料
Reinhard Selten	ラインハルト・ゼルテン
Majouro	マジュロ
Georges Lemaître	ジョルジュ・ルメートル
Hualpén	ワルペン
Fizyon	核融合反応
Nerja (Málaga)	ネルハ
Ronda (Málaga)	ロンダ (スペイン)
Franbwaz	ラズベリー
Kokoye	ココナッツ
Grenad (fwi)	ザクロ
Pèch (fwi)	モモ
Zoranj	オレンジ
Gato	ケーキ
Montserrat	モントセラト
Thomas Malthus	トマス・ロバート・マルサス
Wikispecies	ウィキスピーシーズ
Zèb katre	オシロイバナ
1105 (almanak jilyen)	1105年
Kapot	コンドーム
Palmis	ヤシ
Kors	コルシカ島
Santiago de Compostela	サンティアゴ・デ・コンポステーラ
Β	Β
Γ	Γ
Δ	Δ
Ε	Ε
Ζ	Ζ
Η	Η
Θ	Θ
Ι	Ι
Κ	Κ
Ν	Ν
Ξ	Ξ
Ο	Ο
Ρ	Ρ
Σ	Σ
Τ	Τ
Υ	Υ
Χ	Χ
Ψ	Ψ
Iquique	イキケ
La Serena, Chili	ラ・セレナ
Drapo	旗
Labapen	パンノキ
Mèb	家具
Tab	テーブル (家具)
Lage	ラーゲ (リッペ)
Sapoti	サポジラ
Chèz	椅子
ב	ב
ג	ג
Jiraf	キリン
ז	ザイン
Lèv	唇
Moustach	口髭
Pwen konjelasyon	融点
Radyasyon kosmik natirèl	宇宙マイクロ波背景放射
Kòdelya	コーディリア (衛星)
Ofeli	オフィーリア (衛星)
Byanka	ビアンカ (衛星)
Kresida	クレシダ (衛星)
Dèsdemòn	デズデモーナ (衛星)
Jilyèt	ジュリエット (衛星)
Pòtya	ポーシャ (衛星)
Rozalinn	ロザリンド (衛星)
Kipidon	キューピッド (衛星)
Belinda	ベリンダ (衛星)
Pèdita	ペルディータ (衛星)
Pik	パック (衛星)
Mab	マブ (衛星)
Jaén (Jaén)	ハエン
Pye	足
Queen	クイーン (バンド)
Brian May	ブライアン・メイ
Leza	トカゲ
Nayad	ナイアド (衛星)
Nereyid	ネレイド (衛星)
Pwote	プロテウス (衛星)
Braintree, Massachusetts	ブレインツリー (マサチューセッツ州)
Б	Б
А	А
Г	Г
Д	Д
В	В
Zepòl	肩
Gòj	咽喉
Modèl:Link FA	Template:Link FA
Lemonn	世界
Jij	裁判官
Vèmont	バーモント州
San Diego, Kalifòni	サンディエゴ
San Jose, Kalifòni	サンノゼ
Denver, Kolorado	デンバー
Houston, Texas	ヒューストン
Phoenix, Arizona	フェニックス (アリゾナ州)
Dalas (Teksas)	ダラス
Fort Worth, Texas	フォートワース
Austin, Texas	オースティン
Palè (gwo kay)	宮殿
El Paso, Texas	エル・パソ (テキサス州)
Memphis, Tennessee	メンフィス (テネシー州)
Charlotte	シャーロット (ノースカロライナ州)
Columbus, Ohio	コロンバス (オハイオ州)
Jacksonville, Florid	ジャクソンビル (フロリダ州)
Jožef Stefan	ヨーゼフ・シュテファン
Long Beach, Kalifòni	ロングビーチ (カリフォルニア州)
Laredo, Texas	ラレド (テキサス州)
Los Ángeles (Chili)	ロス・アンヘレス
Lota	ロタ (チリ)
Lopital	病院
Etna	エトナ火山
Gwadloup	グアドループ
Oakland, Kalifòni	オークランド (カリフォルニア州)
Matinik	マルティニーク
Ze	卵
Trilobit	三葉虫
Tibet	チベット
Sèk (non)	円 (数学)
John von Neumann	ジョン・フォン・ノイマン
Donald Knuth	ドナルド・クヌース
Hertha Marks Ayrton	ハータ・エアトン
Stephen Hawking	スティーヴン・ホーキング
Teyori	理論
Arlington, Texas	アーリントン (テキサス州)
Sacramento, Kalifòni	サクラメント (カリフォルニア州)
1925 (almanak gregoryen)	1925年
1927 (almanak gregoryen)	1927年
Aspirin	アセチルサリチル酸
Konpòtman natirèl	本能
Radyasyon	放射
Providence (Rod Aylann)	プロビデンス (ロードアイランド州)
Alatri	アラトリ
1000 (almanak jilyen)	1000年
999 (almanak jilyen)	999年
Fransisko	フランシスコ (衛星)
Kaliban	キャリバン (衛星)
Stefano	ステファノー (衛星)
Trenkilo	トリンキュロー (衛星)
Sikoraks	シコラクス (衛星)
Magarèt	マーガレット (衛星)
Pwospero	プロスペロー (衛星)
Lou	オオカミ
Setebos	セティボス (衛星)
Fèdinan	ファーディナンド (衛星)
Byomas	バイオマス
Ball, Lwizyana	ボール
Tucson, Arizona	ツーソン
1955 (almanak gregoryen)	1955年
1954 (almanak gregoryen)	1954年
1953 (almanak gregoryen)	1953年
1951 (almanak gregoryen)	1951年
1950 (almanak gregoryen)	1950年
1946 (almanak gregoryen)	1946年
1943 (almanak gregoryen)	1943年
1942 (almanak gregoryen)	1942年
1940 (almanak gregoryen)	1940年
1939 (almanak gregoryen)	1939年
Club de Gimnasia y Esgrima La Plata	ヒムナシア・ラ・プラタ
1938 (almanak gregoryen)	1938年
1937 (almanak gregoryen)	1937年
1936 (almanak gregoryen)	1936年
1935 (almanak gregoryen)	1935年
1934 (almanak gregoryen)	1934年
1933 (almanak gregoryen)	1933年
1932 (almanak gregoryen)	1932年
1931 (almanak gregoryen)	1931年
1930 (almanak gregoryen)	1930年
1929 (almanak gregoryen)	1929年
Pyongyang	平壌
Nouvo Testaman	新約聖書
Sistèm pozisyon global	グローバル・ポジショニング・システム
106 (nonm)	106
Pwokaryòt	原核生物
Ekaryòt	真核生物
9 (nonm)	9
ע	ע
1001 (almanak jilyen)	1001年
1002 (almanak jilyen)	1002年
1003 (almanak jilyen)	1003年
1005 (almanak jilyen)	1005年
1006 (almanak jilyen)	1006年
1007 (almanak jilyen)	1007年
1008 (almanak jilyen)	1008年
1009 (almanak jilyen)	1009年
1010 (almanak jilyen)	1010年
1011 (almanak jilyen)	1011年
1012 (almanak jilyen)	1012年
1013 (almanak jilyen)	1013年
1014 (almanak jilyen)	1014年
1015 (almanak jilyen)	1015年
1016 (almanak jilyen)	1016年
1017 (almanak jilyen)	1017年
1018 (almanak jilyen)	1018年
1019 (almanak jilyen)	1019年
1020 (almanak jilyen)	1020年
1021 (almanak jilyen)	1021年
1022 (almanak jilyen)	1022年
1023 (almanak jilyen)	1023年
1024 (almanak jilyen)	1024年
1025 (almanak jilyen)	1025年
1026 (almanak jilyen)	1026年
1027 (almanak jilyen)	1027年
1028 (almanak jilyen)	1028年
1029 (almanak jilyen)	1029年
1030 (almanak jilyen)	1030年
1031 (almanak jilyen)	1031年
Bien Hoa	ビエンホア
1032 (almanak jilyen)	1032年
1033 (almanak jilyen)	1033年
1034 (almanak jilyen)	1034年
1035 (almanak jilyen)	1035年
1036 (almanak jilyen)	1036年
1037 (almanak jilyen)	1037年
1038 (almanak jilyen)	1038年
1039 (almanak jilyen)	1039年
1040 (almanak jilyen)	1040年
1041 (almanak jilyen)	1041年
San Pedro de la Paz	サン・ペドロ・デ・ラ・パス
1042 (almanak jilyen)	1042年
1043 (almanak jilyen)	1043年
1044 (almanak jilyen)	1044年
1045 (almanak jilyen)	1045年
1046 (almanak jilyen)	1046年
1047 (almanak jilyen)	1047年
1049 (almanak jilyen)	1049年
1050 (almanak jilyen)	1050年
1051 (almanak jilyen)	1051年
1052 (almanak jilyen)	1052年
1053 (almanak jilyen)	1053年
1054 (almanak jilyen)	1054年
1055 (almanak jilyen)	1055年
1056 (almanak jilyen)	1056年
1057 (almanak jilyen)	1057年
1058 (almanak jilyen)	1058年
1059 (almanak jilyen)	1059年
1060 (almanak jilyen)	1060年
1061 (almanak jilyen)	1061年
1062 (almanak jilyen)	1062年
1063 (almanak jilyen)	1063年
1064 (almanak jilyen)	1064年
1065 (almanak jilyen)	1065年
1066 (almanak jilyen)	1066年
1067 (almanak jilyen)	1067年
1068 (almanak jilyen)	1068年
1069 (almanak jilyen)	1069年
1070 (almanak jilyen)	1070年
1071 (almanak jilyen)	1071年
1072 (almanak jilyen)	1072年
1073 (almanak jilyen)	1073年
1074 (almanak jilyen)	1074年
1075 (almanak jilyen)	1075年
1076 (almanak jilyen)	1076年
1077 (almanak jilyen)	1077年
1078 (almanak jilyen)	1078年
1079 (almanak jilyen)	1079年
Talasa	タラッサ (衛星)
1080 (almanak jilyen)	1080年
1081 (almanak jilyen)	1081年
1082 (almanak jilyen)	1082年
Despina	デスピナ (衛星)
1083 (almanak jilyen)	1083年
1084 (almanak jilyen)	1084年
1085 (almanak jilyen)	1085年
1086 (almanak jilyen)	1086年
1087 (almanak jilyen)	1087年
1088 (almanak jilyen)	1088年
Galate	ガラテア (衛星)
1089 (almanak jilyen)	1089年
1090 (almanak jilyen)	1090年
1091 (almanak jilyen)	1091年
Larisa	ラリッサ (衛星)
1092 (almanak jilyen)	1092年
1093 (almanak jilyen)	1093年
1094 (almanak jilyen)	1094年
1095 (almanak jilyen)	1095年
1096 (almanak jilyen)	1096年
1097 (almanak jilyen)	1097年
Nha Trang	ニャチャン
1098 (almanak jilyen)	1098年
1099 (almanak jilyen)	1099年
1106 (almanak jilyen)	1106年
1107 (almanak jilyen)	1107年
1108 (almanak jilyen)	1108年
1109 (almanak jilyen)	1109年
1110 (almanak jilyen)	1110年
1111 (almanak jilyen)	1111年
1112 (almanak jilyen)	1112年
1113 (almanak jilyen)	1113年
1114 (almanak jilyen)	1114年
1115 (almanak jilyen)	1115年
Samate	プサマテ (衛星)
1116 (almanak jilyen)	1116年
1117 (almanak jilyen)	1117年
1118 (almanak jilyen)	1118年
1119 (almanak jilyen)	1119年
1120 (almanak jilyen)	1120年
Pap	教皇
Metal alkalen	第1族元素
1130 (almanak jilyen)	1130年
Metal alkaline-tere	第2族元素
1131 (almanak jilyen)	1131年
Rafael Correa	ラファエル・コレア
1132 (almanak jilyen)	1132年
1133 (almanak jilyen)	1133年
Metal tranzisyon entèn	遷移元素
1134 (almanak jilyen)	1134年
1135 (almanak jilyen)	1135年
1136 (almanak jilyen)	1136年
1137 (almanak jilyen)	1137年
Alojèn	第17族元素
1138 (almanak jilyen)	1138年
1139 (almanak jilyen)	1139年
Gaz nòb	第18族元素
5 (almanak jilyen)	5年
1140 (almanak jilyen)	1140年
1141 (almanak jilyen)	1141年
1142 (almanak jilyen)	1142年
1143 (almanak jilyen)	1143年
1144 (almanak jilyen)	1144年
4 (almanak jilyen)	4年
1145 (almanak jilyen)	1145年
1146 (almanak jilyen)	1146年
1147 (almanak jilyen)	1147年
1148 (almanak jilyen)	1148年
3 (almanak jilyen)	3年
1149 (almanak jilyen)	1149年
1150 (almanak jilyen)	1150年
1151 (almanak jilyen)	1151年
Rèn	女王
1152 (almanak jilyen)	1152年
1153 (almanak jilyen)	1153年
2 (almanak jilyen)	2年
1154 (almanak jilyen)	1154年
1155 (almanak jilyen)	1155年
1156 (almanak jilyen)	1156年
1157 (almanak jilyen)	1157年
1158 (almanak jilyen)	1158年
1159 (almanak jilyen)	1159年
Boukarès	ブカレスト
1160 (almanak jilyen)	1160年
1161 (almanak jilyen)	1161年
1162 (almanak jilyen)	1162年
1163 (almanak jilyen)	1163年
1164 (almanak jilyen)	1164年
1165 (almanak jilyen)	1165年
1166 (almanak jilyen)	1166年
1167 (almanak jilyen)	1167年
1168 (almanak jilyen)	1168年
1169 (almanak jilyen)	1169年
1170 (almanak jilyen)	1170年
Pati Endepandantis Pòtoriken	プエルトリコ独立党
1171 (almanak jilyen)	1171年
1172 (almanak jilyen)	1172年
1173 (almanak jilyen)	1173年
Tirana	ティラナ
1174 (almanak jilyen)	1174年
1175 (almanak jilyen)	1175年
1176 (almanak jilyen)	1176年
1177 (almanak jilyen)	1177年
1178 (almanak jilyen)	1178年
Motorhead	モーターヘッド
1179 (almanak jilyen)	1179年
1180 (almanak jilyen)	1180年
1181 (almanak jilyen)	1181年
Bourik	ロバ
1182 (almanak jilyen)	1182年
1928 (almanak gregoryen)	1928年
1183 (almanak jilyen)	1183年
1184 (almanak jilyen)	1184年
1185 (almanak jilyen)	1185年
1186 (almanak jilyen)	1186年
1187 (almanak jilyen)	1187年
1188 (almanak jilyen)	1188年
1189 (almanak jilyen)	1189年
1190 (almanak jilyen)	1190年
1191 (almanak jilyen)	1191年
1192 (almanak jilyen)	1192年
1193 (almanak jilyen)	1193年
1194 (almanak jilyen)	1194年
1195 (almanak jilyen)	1195年
1196 (almanak jilyen)	1196年
1197 (almanak jilyen)	1197年
1198 (almanak jilyen)	1198年
1199 (almanak jilyen)	1199年
6 (almanak jilyen)	6年
Ansyen Testaman	旧約聖書
Nowèl	クリスマス
Lang roman	ロマンス諸語
Triyang	三角形
Bisektil	閏年
Breinigerberg	ブライニガーベルク
Tig	トラ
John Couch Adams	ジョン・クーチ・アダムズ
IU	IU (歌手)
Pandil	振り子
Vung Tau	ブンタウ
Pak (fèt)	復活祭
Chisinaou	キシナウ
Enfòmatik	計算機科学
Sosyoloji	社会学
Şalom	シャーローム (週刊紙)
Monotrèm	カモノハシ目
Aurora, Ilinwa	オーロラ (イリノイ州)
Illkirch	イルキルシュ＝グラフェンスタデン
Maurice Rene Frechet	モーリス・ルネ・フレシェ
Soulye	靴
Pak (rezèv natirèl)	公園
Eskalad	ロッククライミング
1 (almanak jilyen)	1年
10 (almanak jilyen)	10年
Nashville, Tennessee	ナッシュビル
20 (almanak jilyen)	20年
30 (almanak jilyen)	30年
40 (almanak jilyen)	40年
Salt Lake City, Utah	ソルトレイクシティ
9 (almanak jilyen)	9年
7 (almanak jilyen)	7年
8 (almanak jilyen)	8年
7 (nonm)	7
8 (nonm)	8
12 (almanak jilyen)	12年
Lamare	潮汐
Semèn	週
Sèf	シカ
Glas (materyo)	氷
Lak	湖
Lay	ニンニク
Antropoloji	人類学
930 (almanak jilyen)	930年
13 (almanak jilyen)	13年
Chato	城
985 (almanak jilyen)	985年
1122 (almanak jilyen)	1122年
981 (almanak jilyen)	981年
939 (almanak jilyen)	939年
Konkonm	キュウリ
Oulan-Batò	ウランバートル
Edinbo	エディンバラ
Achgabat	アシガバート
51 (almanak jilyen)	51年
Octave Mirbeau	オクターヴ・ミルボー
Il	島
Provo, Utah	プロボ (ユタ州)
Blan	白
Nwa (koulè)	黒
814 (almanak jilyen)	814年
678 (almanak jilyen)	678年
950 (almanak jilyen)	950年
679 (almanak jilyen)	679年
996 (almanak jilyen)	996年
680 (almanak jilyen)	680年
37 (almanak jilyen)	37年
980 (almanak jilyen)	980年
900 (almanak jilyen)	900年
1129 (almanak jilyen)	1129年
843 (almanak jilyen)	843年
Lordi	ローディ (バンド)
690 (almanak jilyen)	690年
691 (almanak jilyen)	691年
988 (almanak jilyen)	988年
692 (almanak jilyen)	692年
476 (almanak jilyen)	476年
693 (almanak jilyen)	693年
Masey	マルセイユ
694 (almanak jilyen)	694年
695 (almanak jilyen)	695年
Zonyon	タマネギ
696 (almanak jilyen)	696年
6 (nonm)	6
697 (almanak jilyen)	697年
698 (almanak jilyen)	698年
699 (almanak jilyen)	699年
700 (almanak jilyen)	700年
Mostchena	モシュチェナ
701 (almanak jilyen)	701年
702 (almanak jilyen)	702年
Akeyoloji	考古学
703 (almanak jilyen)	703年
Tomat	トマト
704 (almanak jilyen)	704年
705 (almanak jilyen)	705年
706 (almanak jilyen)	706年
68 (almanak jilyen)	68年
89 (almanak jilyen)	89年
707 (almanak jilyen)	707年
708 (almanak jilyen)	708年
Phong Nha-Ke Bang	フォンニャ＝ケバン国立公園
709 (almanak jilyen)	709年
11 (almanak jilyen)	11年
710 (almanak jilyen)	710年
711 (almanak jilyen)	711年
712 (almanak jilyen)	712年
713 (almanak jilyen)	713年
714 (almanak jilyen)	714年
715 (almanak jilyen)	715年
716 (almanak jilyen)	716年
717 (almanak jilyen)	717年
Quang Binh	クアンビン省
718 (almanak jilyen)	718年
719 (almanak jilyen)	719年
Ekwatè (liy imajinè)	赤道
720 (almanak jilyen)	720年
721 (almanak jilyen)	721年
722 (almanak jilyen)	722年
Selena	セレナ (歌手)
723 (almanak jilyen)	723年
724 (almanak jilyen)	724年
Mérida, Venezwela	メリダ (ベネズエラ)
725 (almanak jilyen)	725年
726 (almanak jilyen)	726年
Atlanta (Djòdji)	アトランタ
727 (almanak jilyen)	727年
728 (almanak jilyen)	728年
729 (almanak jilyen)	729年
963 (almanak jilyen)	963年
730 (almanak jilyen)	730年
731 (almanak jilyen)	731年
962 (almanak jilyen)	962年
732 (almanak jilyen)	732年
733 (almanak jilyen)	733年
997 (almanak jilyen)	997年
734 (almanak jilyen)	734年
972 (almanak jilyen)	972年
735 (almanak jilyen)	735年
955 (almanak jilyen)	955年
901 (almanak jilyen)	901年
736 (almanak jilyen)	736年
737 (almanak jilyen)	737年
936 (almanak jilyen)	936年
738 (almanak jilyen)	738年
953 (almanak jilyen)	953年
902 (almanak jilyen)	902年
739 (almanak jilyen)	739年
15 (almanak jilyen)	15年
740 (almanak jilyen)	740年
14 (almanak jilyen)	14年
741 (almanak jilyen)	741年
742 (almanak jilyen)	742年
17 (almanak jilyen)	17年
743 (almanak jilyen)	743年
958 (almanak jilyen)	958年
744 (almanak jilyen)	744年
500 (almanak jilyen)	500年
745 (almanak jilyen)	745年
150 (almanak jilyen)	150年
746 (almanak jilyen)	746年
880 (almanak jilyen)	880年
747 (almanak jilyen)	747年
748 (almanak jilyen)	748年
Diksyonè	辞典
749 (almanak jilyen)	749年
870 (almanak jilyen)	870年
903 (almanak jilyen)	903年
750 (almanak jilyen)	750年
751 (almanak jilyen)	751年
Bermid	バミューダ諸島
752 (almanak jilyen)	752年
Tèt	頭
753 (almanak jilyen)	753年
987 (almanak jilyen)	987年
754 (almanak jilyen)	754年
965 (almanak jilyen)	965年
755 (almanak jilyen)	755年
924 (almanak jilyen)	924年
951 (almanak jilyen)	951年
932 (almanak jilyen)	932年
Welintòn	ウェリントン
23 (almanak jilyen)	23年
800 (almanak jilyen)	800年
120 (almanak jilyen)	120年
42 (almanak jilyen)	42年
Simon Stevin	シモン・ステヴィン
967 (almanak jilyen)	967年
989 (almanak jilyen)	989年
960 (almanak jilyen)	960年
969 (almanak jilyen)	969年
957 (almanak jilyen)	957年
1124 (almanak jilyen)	1124年
971 (almanak jilyen)	971年
Nò (rejyon syèl)	方位
937 (almanak jilyen)	937年
992 (almanak jilyen)	992年
990 (almanak jilyen)	990年
899 (almanak jilyen)	899年
975 (almanak jilyen)	975年
942 (almanak jilyen)	942年
966 (almanak jilyen)	966年
1128 (almanak jilyen)	1128年
959 (almanak jilyen)	959年
973 (almanak jilyen)	973年
18 (almanak jilyen)	18年
19 (almanak jilyen)	19年
16 (almanak jilyen)	16年
Las Vegas, Nevada	ラスベガス
21 (almanak jilyen)	21年
26 (almanak jilyen)	26年
41 (almanak jilyen)	41年
32 (almanak jilyen)	32年
33 (almanak jilyen)	33年
982 (almanak jilyen)	982年
974 (almanak jilyen)	974年
976 (almanak jilyen)	976年
979 (almanak jilyen)	979年
986 (almanak jilyen)	986年
919 (almanak jilyen)	919年
998 (almanak jilyen)	998年
995 (almanak jilyen)	995年
977 (almanak jilyen)	977年
1125 (almanak jilyen)	1125年
La Valèt	バレッタ
934 (almanak jilyen)	934年
10 (nonm)	10
Nonm atomik	原子番号
200 (almanak jilyen)	200年
876 (almanak jilyen)	876年
875 (almanak jilyen)	875年
810 (almanak jilyen)	810年
929 (almanak jilyen)	929年
882 (almanak jilyen)	882年
1127 (almanak jilyen)	1127年
940 (almanak jilyen)	940年
889 (almanak jilyen)	889年
Peny	櫛
844 (almanak jilyen)	844年
912 (almanak jilyen)	912年
838 (almanak jilyen)	838年
984 (almanak jilyen)	984年
874 (almanak jilyen)	874年
38 (almanak jilyen)	38年
43 (almanak jilyen)	43年
127 (almanak jilyen)	127年
954 (almanak jilyen)	954年
39 (almanak jilyen)	39年
24 (almanak jilyen)	24年
79 (almanak jilyen)	79年
61 (almanak jilyen)	61年
104 (almanak jilyen)	104年
29 (almanak jilyen)	29年
102 (almanak jilyen)	102年
866 (almanak jilyen)	866年
839 (almanak jilyen)	839年
622 (almanak jilyen)	622年
918 (almanak jilyen)	918年
100 (almanak jilyen)	100年
Lila Downs	リラ・ダウンズ
961 (almanak jilyen)	961年
570 (almanak jilyen)	570年
632 (almanak jilyen)	632年
946 (almanak jilyen)	946年
835 (almanak jilyen)	835年
884 (almanak jilyen)	884年
859 (almanak jilyen)	859年
832 (almanak jilyen)	832年
849 (almanak jilyen)	849年
877 (almanak jilyen)	877年
878 (almanak jilyen)	878年
861 (almanak jilyen)	861年
869 (almanak jilyen)	869年
968 (almanak jilyen)	968年
983 (almanak jilyen)	983年
964 (almanak jilyen)	964年
1121 (almanak jilyen)	1121年
1123 (almanak jilyen)	1123年
933 (almanak jilyen)	933年
915 (almanak jilyen)	915年
970 (almanak jilyen)	970年
911 (almanak jilyen)	911年
993 (almanak jilyen)	993年
991 (almanak jilyen)	991年
994 (almanak jilyen)	994年
898 (almanak jilyen)	898年
944 (almanak jilyen)	944年
907 (almanak jilyen)	907年
943 (almanak jilyen)	943年
945 (almanak jilyen)	945年
922 (almanak jilyen)	922年
905 (almanak jilyen)	905年
941 (almanak jilyen)	941年
925 (almanak jilyen)	925年
928 (almanak jilyen)	928年
948 (almanak jilyen)	948年
947 (almanak jilyen)	947年
949 (almanak jilyen)	949年
926 (almanak jilyen)	926年
Sezon	季節
126 (almanak jilyen)	126年
101 (almanak jilyen)	101年
105 (almanak jilyen)	105年
108 (almanak jilyen)	108年
117 (almanak jilyen)	117年
115 (almanak jilyen)	115年
Chabon	石炭
22 (almanak jilyen)	22年
46 (almanak jilyen)	46年
25 (almanak jilyen)	25年
153 (almanak jilyen)	153年
156 (almanak jilyen)	156年
Independence, Missouri	インディペンデンス (ミズーリ州)
31 (almanak jilyen)	31年
825 (almanak jilyen)	825年
301 (almanak jilyen)	301年
116 (almanak jilyen)	116年
886 (almanak jilyen)	886年
330 (almanak jilyen)	330年
860 (almanak jilyen)	860年
842 (almanak jilyen)	842年
165 (almanak jilyen)	165年
871 (almanak jilyen)	871年
893 (almanak jilyen)	893年
203 (almanak jilyen)	203年
909 (almanak jilyen)	909年
222 (almanak jilyen)	222年
931 (almanak jilyen)	931年
938 (almanak jilyen)	938年
917 (almanak jilyen)	917年
160 (almanak jilyen)	160年
28 (almanak jilyen)	28年
85 (almanak jilyen)	85年
88 (almanak jilyen)	88年
76 (almanak jilyen)	76年
