Africa	アフリカ
Iaponia	日本
America Australis	南アメリカ
Norvegia	ノルウェー
Anglia	イングランド
Scotia	スコットランド
Cambria	ウェールズ
Hibernia Septentrionalis	北アイルランド
Hibernia (res publica)	アイルランド
Hungaria	ハンガリー
Hispania	スペイン
Civitates Foederatae Americae	アメリカ合衆国
Belgica	ベルギー
Luxemburgum	ルクセンブルク
Universum	宇宙
Tellus (planeta)	地球
Vita	生命
Mors	死
Homo sapiens	ヒト
Felicitas	幸福
Georgius Washingtonius	ジョージ・ワシントン
Duglassius Adams	ダグラス・アダムズ
Timotheus Ioannes Berners-Lee	ティム・バーナーズ＝リー
Sescenti sexaginta sex	獣の数字
Imagine (carmen)	イマジン (ジョン・レノンの曲)
Stanley Kubrick	スタンリー・キューブリック
Finnia	フィンランド
Suecia	スウェーデン
Dania	デンマーク
Polonia	ポーランド
Lituania	リトアニア
Italia	イタリア
Helvetia	スイス
Austria	オーストリア
Graecia	ギリシャ
Turcia	トルコ
Cervesia	ビール
Portugallia	ポルトガル
Europa	ヨーロッパ
Asia	アジア
America Septentrionalis	北アメリカ
Antarctica	南極大陸
Vicipaedia	ウィキペディア
All your base are belong to us	All your base are belong to us
Nederlandia	オランダ
Lolcat	Lolcat
Penis	陰茎
PHP	PHP: Hypertext Preprocessor
Novum Eboracum (urbs)	ニューヨーク
Vasingtonia (D.C.)	ワシントンD.C.
Franciscopolis (California)	サンフランシスコ
Berolinum	ベルリン
Angelopolis	ロサンゼルス
Airbus	エアバス
Computatrum	コンピュータ
Berna (urbs)	ベルン
Genava	ジュネーヴ
Turicum (urbs)	チューリッヒ
Interrete	インターネット
Baracus Obama	バラク・オバマ
Uraquaria	ウルグアイ
Basilea	バーゼル
Typographum	プリンター
MediaVici	MediaWiki
Londinium	ロンドン
Cairus	カイロ
Capitis dolor	頭痛
Alexandria	アレクサンドリア
Malum	リンゴ
Lutetia	パリ
Abrahamus Lincoln	エイブラハム・リンカーン
Google	Google
Mexicum	メキシコ
Oceanus Atlanticus	大西洋
Oceanus Pacificus	太平洋
California	カリフォルニア州
Bostonia	ボストン
Dies lunae	月曜日
Spatium	空間
Ianuarius	1月
Februarius	2月
Martius	3月
Mars (planeta)	火星
Mars (deus)	マールス
Kenia	ケニア
Aethiopia	エチオピア
Gana	ガーナ
Aprilis	4月
Maius	5月
Iunius	6月
Iulius	7月
Sextilis	8月
September	9月
October	10月
November	11月
December	12月
Dies Martis	火曜日
Dies Mercurii	水曜日
Dies Iovis	木曜日
Dies Veneris	金曜日
Dies Saturni	土曜日
Dies solis	日曜日
Episcopus (scacci)	ビショップ
Pedes (scacci)	ポーン
Equus (scacci)	ナイト (チェス)
Turris (scacci)	ルーク
Rex (scacci)	キング (チェス)
Regina (scacci)	クイーン (チェス)
Leo	ライオン
Francia	フランス
Lingua Esperantica	エスペラント
Canis	イヌ
Britanniarum Regnum	イギリス
Feles	ネコ
Res publica popularis Sinarum	中華人民共和国
Lingua Francogallica	フランス語
Victionarium	ウィクショナリー
Piscis	魚類
Ethanol	エタノール
Brasilia	ブラジル
Alcohol	アルコール
Franciscus Hollande	フランソワ・オランド
Russia	ロシア
Cetacea	クジラ目
Fibra optica	光ファイバー
Isuria	ヨークシャー
Quadrum	正方形
Mare	海
Pontus Euxinus	黒海
Numerus pi	円周率
Pi (littera Graeca)	Π
Vici	ウィキ
Torontum	トロント
Alabama	アラバマ州
Paulopolis	サンパウロ
Sanctus Paulus (provincia)	サンパウロ州
Quebecum	ケベック州
Placenta Neapolitana	ピザ
Pasta	パスタ
Vicimedia	ウィキメディア財団
Iacobus Wales	ジミー・ウェールズ
Germania	ドイツ
Ruthenia Alba	ベラルーシ
Laurentius Sanger	ラリー・サンガー
Hymnus Mameli	マメーリの賛歌
Lingua Theodisca	ドイツ語
Islandia	アイスランド
Deus	神
Estonia	エストニア
David Cameron	デーヴィッド・キャメロン
Saturnus (planeta)	土星
Socolata	チョコレート
Cerasus (pomum)	サクランボ
Aëroplanum	飛行機
Bellum	戦争
Unus	1
Duo	2
Tres	3
Quattuor	4
Quinque	5
0	0
Infinitas	無限
Stephanus Harper	スティーヴン・ハーパー
Georgius W. Bush	ジョージ・W・ブッシュ
Rectangulum	長方形
Lettonia	ラトビア
Ucraina	ウクライナ
Cechia	チェコ
Slovacia	スロバキア
Slovenia	スロベニア
Vilna	ヴィリニュス
Res publica Moldavica	モルドバ
Romania	ルーマニア
Bulgaria	ブルガリア
Roma	ローマ
Res publica Macedonica	マケドニア共和国
Albania	アルバニア
Groenlandia	グリーンランド
Croatia	クロアチア
Bosnia et Herzegovina	ボスニア・ヘルツェゴビナ
Nuuk	ヌーク
Atropatene (res publica)	アゼルバイジャン
Andorra	アンドラ
Cyprus	キプロス
Georgia	グルジア
Wallonia	ワロン地域
Kazachstania	カザフスタン
Melita (res publica)	マルタ
Flandria	フランドル
Principatus Monoeci	モナコ
Mons Niger	モンテネグロ
Civitas Vaticana	バチカン
Res publica Sancti Marini	サンマリノ
Bruxellae	ブリュッセル市
Regio Bruxellana	ブリュッセル
Cuba	キューバ
Beliza	ベリーズ
Turris Eiffelia	エッフェル塔
Barbata	バルバドス
Volkswagen	フォルクスワーゲン
