Afrihkká	アフリカ
Jáhpan	日本
Lulli-Amerihkká	南アメリカ
Norga	ノルウェー
Englánda	イングランド
Irlánda	アイルランド
Ungára	ハンガリー
Spánia	スペイン
Amerihká ovttastuvvan stáhtat	アメリカ合衆国
Belgia	ベルギー
Luxemburg	ルクセンブルク
Eana	地球
Olmmoš	ヒト
Suopma	フィンランド
Ruoŧŧa	スウェーデン
Dánmárku	デンマーク
Polska	ポーランド
Lietuva	リトアニア
Itália	イタリア
Šveica	スイス
Nuortariika	オーストリア
Greika	ギリシャ
Durka	トルコ
Portugal	ポルトガル
Eurohpá	ヨーロッパ
Ásia	アジア
Davvi-Amerihkká	北アメリカ
Antárktis	南極大陸
Wikipedia	ウィキペディア
Vuolleeatnamat	オランダ
Washington D.C.	ワシントンD.C.
Berlin	ベルリン
Los Angeles	ロサンゼルス
Bern	ベルン
Barack Obama	バラク・オバマ
Uruguay	ウルグアイ
London	ロンドン
Kairo	カイロ
Paris	パリ
Meksiko	メキシコ
Atlánta	大西洋
Jaskesáhpi	太平洋
Kalifornia	カリフォルニア州
Vuossárga	月曜日
Ođđajagimánnu	1月
Guovvamánnu	2月
Njukčamánnu	3月
Mars	火星
Kenia	ケニア
Etiopia	エチオピア
Ghana	ガーナ
Cuoŋománnu	4月
Miessemánnu	5月
Geassemánnu	6月
Suoidnemánnu	7月
Borgemánnu	8月
Čakčamánnu	9月
Golggotmánnu	10月
Skábmamánnu	11月
Juovlamánnu	12月
Maŋŋebárga	火曜日
Gaskavahkku	水曜日
Duorastat	木曜日
Bearjadat	金曜日
Lávvardat	土曜日
Sotnabeaivi	日曜日
Ledjon	ライオン
Frankriika	フランス
Esperantogiella	エスペラント
Ovttastuvvan gonagasriika	イギリス
Bussá	ネコ
Kiinná	中華人民共和国
Fránskkagiella	フランス語
Brasilia	ブラジル
François Hollande	フランソワ・オランド
Ruošša	ロシア
Hvaler	クジラ目
Kvadráhta	正方形
Π	Π
Toronto	トロント
Alabama	アラバマ州
São Paulo	サンパウロ
Duiska	ドイツ
Vilges-Ruošša	ベラルーシ
Duiskkagiella	ドイツ語
Islánda	アイスランド
Estteeana	エストニア
Saturn	土星
Agálašvuohta	無限
George W. Bush	ジョージ・W・ブッシュ
Rektáŋgel	長方形
Látvia	ラトビア
Ukraina	ウクライナ
Čeahkka	チェコ
Slovakia	スロバキア
Slovenia	スロベニア
Vilnius	ヴィリニュス
Moldova	モルドバ
Románia	ルーマニア
Bulgária	ブルガリア
Roma	ローマ
Makedonia	マケドニア共和国
Albánia	アルバニア
Kalaallit Nunaat	グリーンランド
Kroatia	クロアチア
Bosnia ja Hercegovina	ボスニア・ヘルツェゴビナ
Nuuk	ヌーク
Aserbaižan	アゼルバイジャン
Andorra	アンドラ
Kypros	キプロス
Georgia	グルジア
Kasakstan	カザフスタン
Malta	マルタ
Monaco	モナコ
Montenegro	モンテネグロ
Vatikána	バチカン
San Marino	サンマリノ
Bryssel	ブリュッセル
Cuba	キューバ
